,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/temperature/0,/amdcpu/1/load/1,/amdcpu/1/load/2,/amdcpu/1/load/3,/amdcpu/1/load/4,/amdcpu/1/load/0,/amdcpu/1/clock/1,/amdcpu/1/clock/2,/amdcpu/1/clock/3,/amdcpu/1/clock/4,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/2/temperature/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Core #1 - #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Temperature","Used Space","Used Space"
05/29/2019 18:37:57,43.75,29.6875,43.75,32.8125,37.5,3200.05225,3200.05225,3200.05225,3200.05225,37.375,35.9375,26.5625,40.625,31.25,33.59375,3200.05054,3200.05054,3200.05054,3200.05054,51.7097778,4.11288834,3.84090424,40,0,139,405.000031,278,16,10,0,0,4096,640.0039,3455.996,15.6250954,36,32,56.243206,59.80607
05/29/2019 18:37:58,42.1875,36.5079346,40.625,31.25,37.64261,3200.0498,3200.0498,3200.0498,3200.0498,38.125,39.0625,32.8125,23.4375,54.6875,37.5,3200.05029,3200.05029,3200.05029,3200.05029,52.2927361,4.159256,3.79453659,40,0,139,405.000031,278,13,10,0,0,4096,640.8789,3455.121,15.6464577,36,32,56.243206,59.80607
05/29/2019 18:37:59,42.1875,26.1538448,37.5,37.5,35.83534,3200.052,3200.052,3200.052,3200.052,38.5,30.76923,30.76923,38.4615364,43.07692,35.76923,3200.05078,3200.05078,3200.05078,3200.05078,52.7837639,4.198311,3.75548172,40,0,139,405.000031,278,18,12,0,0,4096,649.2539,3446.746,15.8509254,36,32,56.243206,59.80607
05/29/2019 18:38:00,31.25,11.2903233,28.125,9.375,20.0100784,3200.04883,3200.04883,3200.04883,3200.04883,38.5,15.8730145,11.1111107,15.8730145,33.3333321,19.0476112,3200.05029,3200.05029,3200.05029,3200.05029,52.94069,4.21079254,3.743,40,0,139,405.000031,278,0,4,0,0,4096,649.7539,3446.246,15.8631325,36,32,56.243206,59.80607
05/29/2019 18:38:01,3.125,0,1.5625,1.5625,1.5625,3200.05225,3200.05225,3200.05225,3200.05225,36.875,3.125,0,1.5625,4.6875,2.34375,3200.05078,3200.05078,3200.05078,3200.05078,52.92347,4.209423,3.74436951,40,0,139,405.000031,278,0,4,0,0,4096,649.7539,3446.246,15.8631325,36,32,56.243206,59.80607
05/29/2019 18:38:02,0,1.58730149,0,0,0.396823883,3200.05029,3200.05029,3200.05029,3200.05029,35.5,0,0,0,4.6875,1.171875,3200.051,3200.051,3200.051,3200.051,52.8934,4.20703125,3.74676132,40,0,139,405.000031,278,0,5,0,0,4096,649.2539,3446.746,15.8509254,36,32,56.243206,59.80607
05/29/2019 18:38:03,12.5,15.1515121,14.0625,14.0625,13.9441252,3200.051,3200.051,3200.051,3200.051,35.125,12.5,14.0625,15.625,20.3125,15.625,3200.05273,3200.05273,3200.05273,3200.05273,52.9320564,4.210106,3.74368668,40,0,139,405.000031,278,3,5,0,0,4096,645.7539,3450.246,15.7654762,36,32,56.243206,59.80607
05/29/2019 18:38:04,12.5,6.25,7.8125,1.5625,7.03125,3200.05029,3200.05029,3200.05029,3200.05029,35,0,17.1875,3.125,9.375,7.421875,3200.04688,3200.04688,3200.04688,3200.04688,52.8965149,4.207279,3.74651337,40,0,139,405.000031,278,15,12,0,0,4096,646.0664,3449.93359,15.7731056,36,32,56.243206,59.80607
05/29/2019 18:38:05,34.375,25,42.1875,21.875,30.859375,3200.05249,3200.05249,3200.05249,3200.05249,35.875,32.8125,32.8125,39.0625,32.8125,34.375,3200.052,3200.052,3200.052,3200.052,51.2842178,4.07904053,3.874752,40,0,139,405.000031,278,12,10,0,0,4096,607.8711,3488.129,14.8406029,36,32,56.243206,59.80607
05/29/2019 18:38:06,18.75,17.4603157,31.25,14.0625,20.3807049,3200.04883,3200.04883,3200.04883,3200.04883,35.625,12.5,6.25,14.0625,18.75,12.890625,3200.05249,3200.05249,3200.05249,3200.05249,51.28398,4.07902145,3.874771,40,0,139,405.000031,278,0,5,0,0,4096,655.2461,3440.754,15.9972191,36,32,56.243206,59.80607
